X,Y,ID,NOM,X,Y,LABEL,ANNEE,LIEU,PRODUITS,icon_url
-33.2353792837526,-85.5266096467363,"1",Maison d'Edith,55.406070000000000,-20.890010000000000,Jardin remarquable,"2017",Saint-Denis,,./0.png
-33.2354074419856,-85.5266086280642,"2",Mascarin Jardin Botanique,55.293010000000002,-21.136430000000001,Jardin remarquable,"2019",Saint-Leu,,./0.png
-33.2354032777647,-85.5266103016268,"3","Piton,cirques & remparts",55.480269999999997,-21.099284999999998,Patrimoine mondial de l'humanité,"2010",La Réunion,Aire protégée de France,./0.png
-33.2353780880601,-85.5266100284655,"4",Saint-Denis,55.448774000000000,-20.879390000000001,Villes ou pays d'art et d'histoire,"2011",Saint-Denis,,./0.png
-33.2353922840276,-85.5266085453337,"5",Saint-Paul,55.283200000000001,-21.004069999999999,Villes ou pays d'art et d'histoire,"2011",Saint-Paul,,./0.png
0,0,"6",Pays des portes du sud,,,Villes ou pays d'art et d'histoire,"2011",,,./0.png
-33.2353949232757,-85.5266085944932,"7",Conservatoir Café Laurina,55.288800000000002,-21.027100000000001,Esprit Parc,à partir 2015 ?,Saint-Paul,Café Laurina,./0.png
-33.2354068961777,-85.5266131298942,"8",Cana Suc,55.797117000000000,-21.129584999999999,Esprit Parc,,Sainte-Rose,Gîtes ruraux,./0.png
-33.2354025859762,-85.5266092236728,"9",Gite des tamarins - High Hub Hostel,55.359532999999999,-21.093740000000000,Esprit Parc,,Les Trois-Bassins,Gîtes d'étape et de groupes,./0.png
-33.235413178733,-85.5266098522945,"10",Kaz insolite,55.430309000000001,-21.185973000000001,Esprit Parc,,Saint-Louis,,./0.png
-33.235417343763,-85.5266132144601,"11",Découverte des tunels de lave,55.806963000000003,-21.220801000000002,Esprit Parc,,Sainte-Rose,Sorties culturelles,./0.png
-33.2354218360925,-85.5266100781809,"12",Miel de Forêt,55.455916000000002,-21.261486999999999,Esprit Parc,,Rivière Saint-Louis,Miel,./0.png
-33.2354089059672,-85.5266117509805,"13",Miel de Forêt,55.642775000000000,-21.147776000000000,Esprit Parc,,Plaine des Palmistes,Miel,./0.png
-33.2354209984349,-85.5266108092869,"14",Miel de Forêt,55.537756999999999,-21.253833000000000,Esprit Parc,,Le Tampon,Miel,./0.png
-33.235426250949,-85.5266104353352,"15",Miel de Forêt,55.496070000000003,-21.299883999999999,Esprit Parc,,Saint-Pierre,Miel,./0.png
-33.2354209984349,-85.5266108092869,"16",Gelée Royale,55.537756999999999,-21.253833000000000,Esprit Parc,,Le Tampon,"Confitures, gelées et compotes",./0.png
-33.2354087479632,-85.5266128645168,"17",Vanille Bourbon,55.767465999999999,-21.145882000000000,Esprit Parc,,Sainte-Rose,Vanille,./0.png
-33.2353916955903,-85.5266120953867,"18",Vanille Noire,55.680723000000000,-20.997292000000002,Esprit Parc,,Bras Panon,Vanille,./0.png
-33.235417393272,-85.5266097854652,"19",Randonnée fenêtre des Makes - Piton cabris,55.422977000000003,-21.222816000000002,Esprit Parc,,Saint-Louis,,./0.png
-33.235417393272,-85.5266097854652,"20",Randonnée sous les étoiles aux Makes,55.422977000000003,-21.222816000000002,Esprit Parc,,Saint-Louis,,./0.png
-33.2354259069964,-85.5266116220675,"21",Le thé du labyrinthe en champ thé,55.628951000000001,-21.296332000000000,Esprit Parc,,Saint-Joseph,Thé/Sirops/Gelées/Légumes,./0.png
-33.235424587251,-85.5266118357124,"22",Maison du Laurina,55.652828000000000,-21.284706000000000,Esprit Parc,,Saint-Joseph,Café Laurina,./0.png
-33.2354286010755,-85.526611430529,"23",Curcuma en poudre,55.607599000000000,-21.319952000000001,Esprit Parc,,Saint-Joseph,Plantes aromatiques/épices/sirops/gelées,./0.png
-33.2354289429416,-85.5266113699722,"24",Arrow-root,55.600830000000002,-21.322966000000001,Esprit Parc,,Saint-Joseph,Farines,./0.png
-33.2354289614642,-85.5266118418342,"25",Plantes aromatiques,55.653671000000003,-21.322910000000000,Esprit Parc,,Saint-Joseph,Herbes aromatiques,./0.png
-33.2353918906935,-85.526609516995,"26",Randonnée Mafate Cayenne,55.391995000000001,-21.000185999999999,Esprit Parc,,La possession,Randonnées pédestres,./0.png
-33.2353979911279,-85.5266091781693,"27",Randonnée Maïdo - La Glacière,55.354272000000002,-21.053626999999999,Esprit Parc,,Saint-Paul,Randonnées pédestres,./0.png
-33.2353979911279,-85.5266091781693,"28",Randonnée lever de soleil au Grand Bénare,55.354272000000002,-21.053626999999999,Esprit Parc,,Saint-Paul,Randonnées pédestres,./0.png
-33.2354048720949,-85.5266090162005,"29",Zarlor Rando à Piton rouge,55.336382000000000,-21.113803999999998,Esprit Parc,,Les Trois-Bassins,Randonnées pédestres,./0.png
-33.2353999820793,-85.5266094752363,"30",Zarlo Rando au Grand Bénaire,55.387610000000002,-21.070879999999999,Esprit Parc,,Les Trois-Bassins,Randonnées pédestres,./0.png
-33.2354066365409,-85.526613082631,"31",Le sentier des pêcheurs,55.791815000000000,-21.127338999999999,Esprit Parc,,Sainte-Rose,Sorties culturelles,./0.png
-33.2353951676278,-85.5266105670782,"32",Circuit des cases créoles,55.509703999999999,-21.028324000000001,Esprit Parc,,Salazie,Sorties culturelles,./0.png
-33.2353964039873,-85.5266121057323,"33",Balade et apéro fruité à Bethléem,55.682051000000001,-21.038412999999998,Esprit Parc,,Saint-Benoit,Sorties culturelles,./0.png
-33.2353978191376,-85.526610590435,"34",Randonnée Fôret de Bélouve - Trou de fer,55.512414999999997,-21.051473000000001,Esprit Parc,,Salazie,Randonnées pédestres,./0.png
-33.2353975197435,-85.5266121872881,"35",Comptoir Mélissa,55.691223999999998,-21.048120999999998,Esprit Parc,,Saint-Benoit,"Confitures, gelées et compotes",./0.png
-33.2354080498403,-85.5266132484883,"36",Domaine D'Aldachris,55.810439000000002,-21.139607000000002,Esprit Parc,,Sainte-Rose,"Confitures, gelées et compotes",./0.png
