X,Y,Id,Nom de l',Commune,produit p,Label,Statut,Infrastruc,icon_url
55.6078214438745,-21.326688474318,"1",Maison du Curcuma,Saint-Joseph,Curcuma,,Producteur,,./0.png
55.687180435597,-21.0006426303172,"2",Coopérative Pro Vanille,Bras-Panon,Vanille de La Réunion,,Coopérative,industrielle,./0.png
55.5205620296666,-21.2866141885646,"3",Coopérative agricole d'huiles essentielles de Bourbon,Le Tampon,Huile essentielle,,Coopérative,industrielle,./0.png
55.6530115238216,-20.9500201541057,"4",Plantation de Vanille Roulof,Saint-André,Vanille de La Réunion,,Producteur,,./0.png
55.5885274026661,-20.9046269520963,"5",La Vanilleraie,Sainte-Suzanne,Vanille de La Réunion,,Producteur,,./0.png
55.2744196451415,-21.0800938616187,"6",La part des anges,Saint-Paul,Rhum,,Distillerie,artisanale,./0.png
55.3109100434077,-21.0367629151551,"7",Distillerie du Maido,Saint-Paul,Huile essentielle,,Distillerie,artisanale,./0.png
55.721389314601,-21.0505199004425,"8",Distillerie de la Rivière du Mât,Saint-Benoît,Rhum,,Distillerie,industrielle,./0.png
55.3985668482161,-21.2791913579095,"9",Sucrerie du Gol,Saint-Louis,Sucre de canne,Qualité tourisme île La Réunion,Transformateur,industrielle,./1.png
55.6380789853954,-20.9159981678459,"10",Distillerie Savanna,Saint-André,Rhum,Qualité tourisme île La Réunion,Distillerie,industrielle,./1.png
55.4657191582269,-21.3122688974873,"11",Saga du rhum,Saint-Pierre,Rhum,Qualité tourisme île La Réunion,Ecomusée,,./1.png
55.5075565081493,-21.2498228399495,"12",Coopérative Bourbon pointu,Le Tampon,Café bourbon pointu,"Produit Pays Réunion, Esprit parc national",Coopérative,,./2.png
55.3507692336968,-21.0089002059816,"13",Domaine des caféiers,Saint-Paul,Laurina Café bourbon pointu,Esprit parc national,Producteur,,./3.png
55.6289693478966,-21.2961270621582,"14",Le Labyrinthe En Champ Thé,Saint-Joseph,Thé,Esprit parc national,Producteur,,./3.png
55.4969600511472,-21.2995122202944,"15",Sery Emmanuel - Miel de forêt,Saint-Pierre,Miel de forêt,Esprit parc national,Producteur,,./3.png
55.5372339288715,-21.2534025389326,"16",Etienne Fontaine - producteur gelée royale,Le Tampon,Gelée rorale,Esprit parc national,Producteur,,./3.png
55.6181944117945,-21.1364654006655,"17",Dominick Cerveaux,Plaine des Palmistes,Miel de forêt,Esprit parc national,Producteur,,./3.png
55.8183811918925,-21.1468773661502,"18",Domaine d'Aldachris,Sainte-Rose,Confiture,Esprit parc national,Producteur,,./3.png
55.7774728081139,-21.1368514011952,"19",Maryse Mounier,Sainte-Rose,Vanille bourbon,Esprit parc national,Producteur,,./3.png
55.6313556291645,-21.2977106120835,"20",Maison du Laurina,Saint-Joseph,Café bourbon pointu,Esprit parc national,Producteur,,./3.png
55.425733574406,-21.305741370289,"21",Domaine du café grillé,Saint-Pierre,Café bourbon pointu,Qualité tourisme île La Réunion,Ecomusée,,./1.png
55.7424093131043,-21.3641603372664,"22",Jardin du parfum et des épices,Saint-Philippe,Epices,,Producteur,,./0.png
55.2956698908835,-21.2026630538916,"23",Stella Matutina,Saint-Leu,Sucre de canne,Qualité tourisme île La Réunion,Ecomusée,industrielle,./1.png
55.4725310203166,-21.1350140214735,"24",Chai de Cilaos,Cilaos,Vin de Cilaos,,Producteur,artisanale,./0.png
55.2822266750283,-21.2033453703392,"25",Musée du sel,Saint-Leu,Sel,,Ecomusée,industrielle,./0.png
55.5485508710874,-21.3122644310129,"26",Domaine Vidot,Saint-Pierre,Fruit,,Producteur,,./0.png
55.2304176213834,-21.0777606699442,"27",Jardin d'Eden,Saint-Paul,Miel,,Producteur,,./0.png
55.6145408309407,-21.1319684919542,"28",Verger Delatre,Plaine des Palmistes,Goyavier,,Producteur,,./0.png
55.7189914146379,-21.0811663799808,"29",Le domaine de Coco,Saint-Benoît,Canne à sucre,,Producteur,,./0.png
55.6877372500633,-20.9635448633926,"30",Le jardin 1001 saveurs,Saint-André,Epices,,Producteur,,./0.png
55.5965138046114,-20.9058801596977,"31",Domaine familiale de Bel Air,Sainte-Suzanne,Canne à sucre,,Producteur,,./0.png
55.5053983102291,-21.2512146647848,"32",Fleur de K'fé,Le Tampon,Café bourbon pointu,Bienvenue à la ferme,Producteur,,./4.png
55.2813069657339,-21.140715659446,"33",Domaine de la pointe des chateaux,Saint-Leu,Légume,Bienvenue à la ferme,Producteur,,./4.png
55.6132189517876,-21.3532031165141,"34",Plantation Far Far,Saint-Joseph,Vétiver,,Producteur,,./0.png
55.5434690729754,-20.9194513658239,"35",Runspirit,Sainte-Marie,Spiruline,,Producteur,,./0.png
